year,month,day=  2019 11  2
lat, East lon.=   -45.871153182  170.502067992
 20700.0  0.029801 -0.027330  0.106490
 20760.0  0.029702 -0.027516  0.105921
 20820.0  0.029603 -0.027700  0.105348
 20880.0  0.029503 -0.027883  0.104772
 20940.0  0.029402 -0.028065  0.104192
 21000.0  0.029302 -0.028245  0.103609
 21060.0  0.029200 -0.028424  0.103022
 21120.0  0.029098 -0.028602  0.102432
 21180.0  0.028996 -0.028778  0.101838
 21240.0  0.028893 -0.028952  0.101241
 21300.0  0.028790 -0.029126  0.100641
 21360.0  0.028686 -0.029298  0.100037
 21420.0  0.028582 -0.029468  0.099430
 21480.0  0.028477 -0.029637  0.098820
 21540.0  0.028372 -0.029805  0.098207
 21600.0  0.028267 -0.029971  0.097590
 21660.0  0.028161 -0.030136  0.096970
 21720.0  0.028055 -0.030299  0.096347
 21780.0  0.027948 -0.030461  0.095721
 21840.0  0.027841 -0.030621  0.095092
 21900.0  0.027733 -0.030780  0.094460
 21960.0  0.027625 -0.030938  0.093825
 22020.0  0.027517 -0.031094  0.093187
 22080.0  0.027409 -0.031248  0.092546
 22140.0  0.027300 -0.031401  0.091902
 22200.0  0.027190 -0.031553  0.091255
 22260.0  0.027081 -0.031703  0.090605
 22320.0  0.026970 -0.031851  0.089953
 22380.0  0.026860 -0.031998  0.089298
 22440.0  0.026749 -0.032144  0.088639
 22500.0  0.026639 -0.032288  0.087979
 22560.0  0.026527 -0.032430  0.087315
 22620.0  0.026416 -0.032571  0.086649
 22680.0  0.026304 -0.032710  0.085980
 22740.0  0.026192 -0.032848  0.085309
 22800.0  0.026079 -0.032984  0.084635
 22860.0  0.025967 -0.033119  0.083959
 22920.0  0.025854 -0.033252  0.083280
 22980.0  0.025740 -0.033384  0.082598
 23040.0  0.025627 -0.033514  0.081914
 23100.0  0.025513 -0.033643  0.081228
 23160.0  0.025399 -0.033770  0.080540
 23220.0  0.025285 -0.033895  0.079849
 23280.0  0.025171 -0.034019  0.079155
 23340.0  0.025056 -0.034141  0.078460
 23400.0  0.024942 -0.034262  0.077762
